"open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
1684486800000,"0.888","0.889","0.888","0.889","18587.4",1684486859999,"16510.1571",86,"4545.9","4041.3051"
1684486860000,"0.888","0.889","0.888","0.889","11380.0",1684486919999,"10113.1836",54,"7743.6","6884.0604"
1684486920000,"0.888","0.889","0.888","0.889","9744.8",1684486979999,"8655.6834",46,"2301.0","2045.5890"
1684486980000,"0.888","0.889","0.888","0.888","12991.0",1684487039999,"11537.2466",115,"1238.6","1101.1154"
1684487040000,"0.888","0.889","0.888","0.889","1821.9",1684487099999,"1618.6128",20,"765.6","680.6184"
1684487100000,"0.888","0.889","0.888","0.889","4256.8",1684487159999,"3782.8466",29,"2808.2","2496.4898"
1684487160000,"0.888","0.889","0.888","0.889","5512.0",1684487219999,"4899.0703",27,"4414.3","3924.3127"
1684487220000,"0.888","0.889","0.888","0.889","4612.5",1684487279999,"4096.1659",24,"265.9","236.3851"
1684487280000,"0.888","0.889","0.888","0.889","2622.2",1684487339999,"2329.5474",46,"1033.8","919.0482"
1684487340000,"0.888","0.889","0.888","0.889","3465.5",1684487399999,"3079.1011",26,"1737.1","1544.2819"
1684487400000,"0.889","0.889","0.888","0.889","5321.6",1684487459999,"4727.5356",25,"1954.8","1737.8172"
1684487460000,"0.889","0.889","0.888","0.889","994.5",1684487519999,"883.5997",13,"483.7","430.0093"
1684487520000,"0.889","0.889","0.888","0.888","4627.3",1684487579999,"4112.3883",13,"3345.9","2974.5051"
1684487580000,"0.889","0.889","0.888","0.889","4115.3",1684487639999,"3658.0722",22,"3685.8","3276.6762"
1684487640000,"0.888","0.889","0.888","0.889","4824.1",1684487699999,"4284.1533",15,"352.5","313.3725"
1684487700000,"0.888","0.889","0.888","0.889","9131.8",1684487759999,"8114.1014",40,"5063.0","4501.0070"
1684487760000,"0.888","0.889","0.888","0.888","739.3",1684487819999,"657.0271",7,"528.7","470.0143"
1684487820000,"0.888","0.889","0.888","0.888","9539.5",1684487879999,"8475.4926",68,"4416.6","3926.3574"
1684487880000,"0.889","0.889","0.888","0.888","23331.4",1684487939999,"20718.9255",87,"642.3","571.0047"
1684487940000,"0.889","0.889","0.888","0.889","3516.3",1684487999999,"3122.9355",23,"461.1","409.9179"
1684488000000,"0.888","0.889","0.888","0.889","11395.7",1684488059999,"10120.1501",45,"768.5","683.1965"
1684488060000,"0.888","0.888","0.887","0.888","151980.8",1684488119999,"134957.9824",184,"822.8","730.6464"
1684488120000,"0.887","0.888","0.887","0.888","25650.8",1684488179999,"22763.1299",36,"10870.3","9652.8264"
1684488180000,"0.888","0.888","0.887","0.888","2866.8",1684488239999,"2545.2039",13,"2352.3","2088.8424"
1684488240000,"0.887","0.888","0.887","0.888","9133.6",1684488299999,"8101.7063",22,"203.1","180.3528"
1684488300000,"0.887","0.888","0.887","0.887","25955.7",1684488359999,"23030.2044",56,"7498.5","6658.6680"
1684488360000,"0.888","0.888","0.887","0.888","1262.5",1684488419999,"1121.0456",12,"1208.1","1072.7928"
1684488420000,"0.888","0.888","0.887","0.888","2265.3",1684488479999,"2009.8640",6,"542.9","482.0952"
1684488480000,"0.888","0.888","0.887","0.888","6725.2",1684488539999,"5966.1863",36,"933.9","829.3032"
1684488540000,"0.888","0.888","0.887","0.887","7504.1",1684488599999,"6659.4569",11,"3320.2","2948.3376"
1684488600000,"0.888","0.888","0.887","0.888","29401.1",1684488659999,"26098.9050",74,"20129.3","17874.8184"
1684488660000,"0.888","0.888","0.887","0.887","2534.7",1684488719999,"2250.2459",17,"1967.0","1746.6960"
1684488720000,"0.888","0.888","0.887","0.888","11270.4",1684488779999,"10004.0029",30,"7158.1","6356.3928"
1684488780000,"0.887","0.888","0.887","0.887","10218.7",1684488839999,"9066.5103",38,"2523.4","2240.7792"
1684488840000,"0.888","0.888","0.887","0.887","4780.0",1684488899999,"4241.3174",12,"1457.4","1294.1712"
1684488900000,"0.888","0.888","0.887","0.887","10186.3",1684488959999,"9039.1267",22,"3878.6","3444.1968"
1684488960000,"0.888","0.888","0.887","0.888","3240.6",1684489019999,"2877.6366",14,"3224.4","2863.2672"
1684489020000,"0.887","0.888","0.887","0.887","4854.4",1684489079999,"4308.2143",21,"2361.5","2097.0120"
1684489080000,"0.888","0.888","0.887","0.887","2669.4",1684489139999,"2369.4360",9,"1678.2","1490.2416"
1684489140000,"0.888","0.888","0.888","0.888","4395.0",1684489199999,"3902.7600",11,"4395.0","3902.7600"
1684489200000,"0.887","0.888","0.887","0.888","10146.0",1684489259999,"9007.4859",27,"7983.9","7089.7032"
1684489260000,"0.888","0.888","0.887","0.887","2244.5",1684489319999,"1992.2648",9,"1393.3","1237.2504"
1684489320000,"0.888","0.888","0.887","0.888","20559.1",1684489379999,"18246.3487",25,"10427.0","9259.1760"
1684489380000,"0.888","0.888","0.887","0.888","343.1",1684489439999,"304.6503",5,"320.6","284.6928"
1684489440000,"0.887","0.888","0.887","0.888","8508.1",1684489499999,"7547.9521",28,"1267.4","1125.4512"
1684489500000,"0.887","0.888","0.887","0.888","5923.8",1684489559999,"5258.8253",24,"4414.7","3920.2536"
1684489560000,"0.887","0.888","0.887","0.888","4786.5",1684489619999,"4246.1251",15,"499.6","443.6448"
1684489620000,"0.887","0.888","0.887","0.887","5047.6",1684489679999,"4479.9761",26,"2754.9","2446.3512"
1684489680000,"0.888","0.888","0.887","0.888","4193.5",1684489739999,"3723.2522",15,"3617.7","3212.5176"
1684489740000,"0.888","0.888","0.887","0.887","2128.6",1684489799999,"1889.6287",6,"1560.5","1385.7240"
1684489800000,"0.888","0.888","0.887","0.887","21471.2",1684489859999,"19059.9758",51,"15021.4","13339.0032"
1684489860000,"0.888","0.888","0.887","0.887","5656.4",1684489919999,"5020.9481",36,"3721.3","3304.5144"
1684489920000,"0.887","0.888","0.887","0.887","3830.7",1684489979999,"3399.5236",23,"1692.7","1503.1176"
1684489980000,"0.887","0.887","0.886","0.887","164974.3",1684490039999,"146316.1011",257,"123.8","109.8106"
1684490040000,"0.886","0.887","0.886","0.887","9868.5",1684490099999,"8749.3114",28,"5820.4","5162.6948"
1684490100000,"0.886","0.887","0.886","0.886","7726.8",1684490159999,"6848.5096",20,"2564.8","2274.9776"
1684490160000,"0.886","0.887","0.886","0.886","26583.2",1684490219999,"23552.9234",13,"208.2","184.6734"
1684490220000,"0.886","0.887","0.886","0.886","4608.3",1684490279999,"4084.8751",11,"1921.3","1704.1931"
1684490280000,"0.886","0.888","0.886","0.888","129079.8",1684490339999,"114493.4158",113,"126750.6","112428.1980"
1684490340000,"0.887","0.888","0.887","0.887","2716.1",1684490399999,"2409.6859",9,"505.2","448.6176"
1684490400000,"0.887","0.888","0.887","0.888","20598.0",1684490459999,"18282.6767",44,"12250.7","10878.6216"
