"open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
1684486800000,"0.1314000","0.1316000","0.1314000","0.1315000","27641",1684486859999,"3635.5614000",31,"22187","2918.3604000"
1684486860000,"0.1316000","0.1318000","0.1316000","0.1318000","40019",1684486919999,"5271.1654000",33,"30178","3975.1757000"
1684486920000,"0.1318000","0.1318000","0.1316000","0.1316000","62277",1684486979999,"8206.6702000",26,"0","0.0000000"
1684486980000,"0.1316000","0.1316000","0.1316000","0.1316000","0",1684487039999,"0.0000000",0,"0","0.0000000"
1684487040000,"0.1316000","0.1317000","0.1316000","0.1316000","8586",1684487099999,"1129.9366000",15,"2718","357.7078000"
1684487100000,"0.1317000","0.1318000","0.1317000","0.1318000","7956",1684487159999,"1048.1672000",14,"6356","837.4472000"
1684487160000,"0.1317000","0.1317000","0.1316000","0.1316000","12492",1684487219999,"1644.9933000",17,"0","0.0000000"
1684487220000,"0.1316000","0.1316000","0.1315000","0.1315000","2581",1684487279999,"339.5837000",7,"298","39.2168000"
1684487280000,"0.1316000","0.1316000","0.1316000","0.1316000","90",1684487339999,"11.8440000",2,"90","11.8440000"
1684487340000,"0.1315000","0.1315000","0.1315000","0.1315000","1481",1684487399999,"194.7515000",3,"0","0.0000000"
1684487400000,"0.1316000","0.1318000","0.1316000","0.1318000","27243",1684487459999,"3586.4670000",27,"26781","3525.6216000"
1684487460000,"0.1317000","0.1317000","0.1316000","0.1317000","40591",1684487519999,"5345.4627000",27,"19183","2526.4011000"
1684487520000,"0.1316000","0.1316000","0.1315000","0.1316000","19032",1684487579999,"2504.1843000",17,"11470","1509.4520000"
1684487580000,"0.1317000","0.1317000","0.1316000","0.1316000","259",1684487639999,"34.0928000",2,"84","11.0628000"
1684487640000,"0.1316000","0.1316000","0.1314000","0.1314000","37306",1684487699999,"4906.1222000",39,"3570","469.8120000"
1684487700000,"0.1315000","0.1317000","0.1315000","0.1317000","24728",1684487759999,"3253.4909000",30,"24557","3230.9873000"
1684487760000,"0.1316000","0.1316000","0.1315000","0.1315000","18498",1684487819999,"2434.1068000",24,"0","0.0000000"
1684487820000,"0.1315000","0.1315000","0.1313000","0.1313000","8202",1684487879999,"1077.6443000",11,"0","0.0000000"
1684487880000,"0.1313000","0.1313000","0.1312000","0.1312000","15562",1684487939999,"2042.3835000",10,"0","0.0000000"
1684487940000,"0.1312000","0.1312000","0.1310000","0.1310000","33431",1684487999999,"4382.7379000",30,"6489","850.7232000"
1684488000000,"0.1311000","0.1313000","0.1311000","0.1313000","41697",1684488059999,"5470.0387000",36,"37691","4944.4515000"
1684488060000,"0.1312000","0.1312000","0.1311000","0.1311000","25613",1684488119999,"3360.1434000",29,"0","0.0000000"
